Designator,Mid X,Mid Y,Rotation,Layer
BATT1,148.5,-126.52,0.0,top
C1,75.75,-135.0676,270.0,top
C2,112.0,-121.0,270.0,top
C3,112.25,-131.75,270.0,top
C4,133.75,-82.75,270.0,top
C5,139.5,-86.5,90.0,top
C6,127.75,-109.0,0.0,top
C7,113.0,-92.0,270.0,top
C8,131.25,-97.75,270.0,top
C9,63.5,-72.25,270.0,top
D1,69.83,-93.0,180.0,top
D2,69.58,-86.25,180.0,top
D3,62.04,-62.46,0.0,top
ENCA1,57.5,-121.31,0.0,top
ENCB1,70.0,-121.56,0.0,top
HC-SRO4,57.4,-105.62,180.0,top
IMU1,128.0,-72.68,180.0,top
J1,57.5,-94.04,0.0,top
J2,79.88,-63.04,0.0,top
J3,57.5,-82.29,0.0,top
J4,57.5,-71.09,0.0,top
LS_1,121.83,-97.85,0.0,top
MD1,88.365,-127.880011,0.0,top
MOTA1,57.75,-135.27,0.0,top
MOTB1,64.3625,-135.27,0.0,top
OLED1,130.48,-114.635,0.0,top
R1,143.94,-90.38,90.0,top
R2,70.5,-66.33,90.0,top
R3,74.922,-66.38,90.0,top
R4,65.75,-106.33,270.0,top
R5,70.75,-106.33,90.0,top
S5V1,104.75,-121.54,0.0,top
S6V1,104.75,-132.8,0.0,top
TP1,133.25,-108.67,0.0,top
TP2,137.5,-108.75,0.0,top
TP3,64.5,-120.0,0.0,top
TP4,76.5,-120.25,0.0,top
U1,95.86,-84.785,0.0,top
